timestamp target_q_0 target_q_1 target_q_2 target_q_3 target_q_4 target_q_5 target_qd_0 target_qd_1 target_qd_2 target_qd_3 target_qd_4 target_qd_5 target_TCP_pose_0 target_TCP_pose_1 target_TCP_pose_2 target_TCP_pose_3 target_TCP_pose_4 target_TCP_pose_5 target_TCP_speed_0 target_TCP_speed_1 target_TCP_speed_2 target_TCP_speed_3 target_TCP_speed_4 target_TCP_speed_5 target_TCP_acc_0 target_TCP_acc_1 target_TCP_acc_2 target_TCP_acc_3 target_TCP_acc_4 target_TCP_acc_5
0.0 -0.5325564462264847 -1.595267091148341 -1.9351178277208148 0.3887636286132983 2.103514506141045 -0.00013977898740433916 0.0 0.0 0.0 0.0 0.0 0.0 0.2 -0.2 0.4 2.4186 -2.4185 2.4185 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
0.008 -0.5324208250519904 -1.5951391347010324 -1.935249639779419 0.3887670445561149 2.103378884967878 -0.0001397678130313183 0.03390926398469963 0.0319934503839883 -0.03295495784229043 0.0009620885729642478 -0.03390926397036562 1.144467413538823e-06 0.2 -0.199968 0.4 2.4186 -2.4185 2.4185 0.0 0.008 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
0.016 -0.5320137704061803 -1.594755231905445 -1.9356449891760668 0.38877935482496184 2.102971830326041 -0.00013973430032161943 0.06786634161784877 0.0639952935290972 -0.06588824415812193 0.0018940780812988598 -0.06786634159083951 2.221978457123091e-06 0.2 -0.19987200000000002 0.4 2.4186 -2.4185 2.4185 0.0 0.016 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
0.024 -0.5313347083331683 -1.594115282231302 -1.9363036155795625 0.38879780582576906 2.102292768259656 -0.00013967848055173741 0.10191912264052132 0.09601389738041867 -0.09877811982265201 0.002765926505072828 -0.10191912259930816 3.362238420764659e-06 0.2 -0.199712 0.4 2.4186 -2.4185 2.4185 0.0 0.024 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
0.032 -0.530382680274033 -1.5932191175640065 -1.9372250851244563 0.38882320466422726 2.1013407402098014 -0.00013960040601092492 0.13611587230602867 0.12805779024185965 -0.13160292652366307 0.0035473996466819447 -0.13611587225135047 4.473026688013456e-06 0.2 -0.199488 0.4 2.4186 -2.4185 2.4185 0.0 0.032 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
0.04 -0.5291563401085577 -1.592066501359174 -1.9384087904368557 0.38885476035343824 2.1001144000562677 -0.00013950015024530088 0.17050528428425948 0.16013561189964037 -0.16434099361842436 0.004208162418097961 -0.1705052842180033 5.506936649062491e-06 0.2 -0.19920000000000002 0.4 2.4186 -2.4185 2.4185 0.0 0.04 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
0.048 -0.5276539499944151 -1.590657127460425 -1.9398539506625836 0.3888913644423697 2.0986120099567307 -0.00013937780840255504 0.20513664508446885 0.19225616789943928 -0.19697065056770327 0.004717718836178979 -0.20513664500936332 6.425462177447068e-06 0.2 -0.19884800000000002 0.4 2.4186 -2.4185 2.4185 0.0 0.048 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
0.056 -0.5258733749844704 -1.588990618581951 -1.941559611489708 0.3889309920624413 2.0968314349640638 -0.00013923349768025164 0.2400599221854474 0.22442840958551494 -0.2294701624703193 0.005045458210065003 -0.24005992210061844 7.379531922468873e-06 0.2 -0.198432 0.4 2.4186 -2.4185 2.4185 0.0 0.056 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
0.064 -0.523812076397185 -1.5870665244577775 -1.9435246451552426 0.38897252463675613 2.0947701363967344 -0.00013906735788166169 0.2753260837206098 0.25666162759659944 -0.2618178830932236 0.0051603906558758935 -0.27532608362761124 8.264950355267285e-06 0.2 -0.19795200000000002 0.4 2.4186 -2.4185 2.4185 0.0 0.064 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
0.072 -0.5214671039093517 -1.5848843196601865 -1.9457477504235774 0.38901418951279876 2.092425163931545 -0.00013887955208403998 0.3109871416613591 0.2889653815574382 -0.29399213602197954 0.005031263348547081 -0.3109871415624029 9.048659879540154e-06 0.2 -0.197408 0.4 2.4186 -2.4185 2.4185 0.0 0.07200000000000001 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
0.08 -0.5188350863345006 -1.5824434010902833 -1.9482274525220014 0.3890532366335844 2.0897931463820387 -0.00013867026742531431 0.3470962404537435 0.32134946877710546 -0.32597113542420814 0.004626616187508178 -0.3470962403455934 9.978724830468744e-06 0.2 -0.1968 0.4 2.4186 -2.4185 2.4185 0.0 0.08 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
0.088 -0.5159122210442737 -1.579743085144271 -1.9509621030165103 0.38908938358013767 2.086870281119869 -0.00013843971601629418 0.3837083371549576 0.35382443459870005 -0.3577334542459654 0.003914059639048945 -0.3837083370521299 1.0213386336907027e-05 0.2 -0.19612800000000002 0.4 2.4186 -2.4185 2.4185 0.0 0.088 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
0.096 -0.5126942619838974 -1.5767826045596909 -1.9539498796089332 0.3891172376066514 2.083652322090274 -0.00013818813598675 0.42087923422681056 0.38640055172876175 -0.3892569383476711 0.0028617412238037855 -0.4208792341193933 1.0912892227267346e-05 0.2 -0.195392 0.4 2.4186 -2.4185 2.4185 0.0 0.096 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
