timestamp target_q_0 target_qd_0 target_qdd_0
0.0 0.0 -0.0 -0.5817764173314431 
0.008 -1.861684535460618e-05 -0.004654211338651545 -0.5817764173314431 
0.016 -7.446738141842472e-05 -0.00930842267730309 -0.5817764173314431 
0.024 -0.00016755160819145564 -0.013962634015954635 -0.5817764173314431 
0.032 -0.0002978695256736989 -0.01861684535460618 -0.5817764173314431 
0.04 -0.0004654211338651545 -0.023271056693257727 -0.5817764173314431 
0.048 -0.0006702064327658225 -0.02792526803190927 -0.5817764173314431 
0.056 -0.0009122254223757029 -0.03257947937056082 -0.5817764173314431 
0.064 -0.0011914781026947955 -0.03723369070921236 -0.5817764173314431 
0.072 -0.001507964473723101 -0.04188790204786391 -0.5817764173314431 
0.08 -0.001861684535460618 -0.046542113386515455 -0.5817764173314431 
0.088 -0.0022526382879073477 -0.05119632472516699 -0.5817764173314431 
0.096 -0.00268082573106329 -0.05585053606381854 -0.5817764173314431 
0.104 -0.0031462468649284454 -0.06050474740247009 -0.5817764173314431 
0.112 -0.0036489016895028116 -0.06515895874112164 -0.5817764173314431 
0.12 -0.0041887902047863905 -0.06981317007977317 -0.5817764173314431 
0.128 -0.004765912410779182 -0.07446738141842472 -0.5817764173314431 
0.136 -0.005380268307481187 -0.07912159275707627 -0.5817764173314431 
0.144 -0.006031857894892404 -0.08377580409572782 -0.5817764173314431 
0.152 -0.006720681173012831 -0.08843001543437935 -0.5817764173314431 
0.16 -0.007446738141842472 -0.09308422677303091 -0.5817764173314431 
0.168 -0.008210028801381327 -0.09773843811168245 -0.5817764173314431 
0.176 -0.00901055315162939 -0.10239264945033398 -0.5817764173314431 
0.184 -0.009848311192586669 -0.10704686078898554 -0.5817764173314431 
0.192 -0.01072330292425316 -0.11170107212763708 -0.5817764173314431 
0.2 -0.011635528346628865 -0.11635528346628864 -0.5817764173314431 
0.208 -0.012584987459713782 -0.12100949480494018 -0.5817764173314431 
0.216 -0.013571680263507904 -0.1256637061435917 -0.5817764173314431 
0.224 -0.014595606758011246 -0.13031791748224328 -0.5817764173314431 
0.232 -0.0156567669432238 -0.13497212882089482 -0.5817764173314431 
0.24 -0.016755160819145562 -0.13962634015954634 -0.5817764173314431 
0.248 -0.017890788385776537 -0.1442805514981979 -0.5817764173314431 
0.256 -0.01906364964311673 -0.14893476283684945 -0.5817764173314431 
0.264 -0.020273744591166133 -0.153588974175501 -0.5817764173314431 
0.272 -0.021521073229924748 -0.15824318551415253 -0.5817764173314431 
0.28 -0.022805635559392575 -0.1628973968528041 -0.5817764173314431 
0.288 -0.024127431579569616 -0.16755160819145565 -0.5817764173314431 
0.296 -0.025486461290455856 -0.17220581953010716 -0.5817764173314431 
0.304 -0.026882724692051323 -0.1768600308687587 -0.5817764173314431 
0.312 -0.028316221784356 -0.18151424220741025 -0.5817764173314431 
0.32 -0.02978695256736989 -0.18616845354606182 -0.5817764173314431 
0.328 -0.031294917041092996 -0.19082266488471336 -0.5817764173314431 
0.336 -0.03284011520552531 -0.1954768762233649 -0.5817764173314431 
0.344 -0.03442254706066684 -0.20013108756201645 -0.5817764173314431 
0.352 -0.03604221260651756 -0.20478529890066796 -0.5817764173314431 
0.36 -0.03769911184307751 -0.20943951023931953 -0.5817764173314431 
0.368 -0.039393244770346676 -0.21409372157797107 -0.5817764173314431 
0.376 -0.04112461138832505 -0.21874793291662262 -0.5817764173314431 
0.384 -0.04289321169701264 -0.22340214425527416 -0.5817764173314431 
0.392 -0.044699045696409444 -0.22805635559392573 -0.5817764173314431 
0.4 -0.04654211338651546 -0.23271056693257727 -0.5817764173314431 
0.408 -0.04842241476733068 -0.23736477827122882 -0.5817764173314431 
