timestamp target_q_0 target_q_1 target_q_2 target_q_3 target_q_4 target_q_5 target_qd_0 target_qd_1 target_qd_2 target_qd_3 target_qd_4 target_qd_5 target_qdd_0 target_qdd_1 target_qdd_2 target_qdd_3 target_qdd_4 target_qdd_5
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 0.0 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.008 4.1142857142857146e-05 3.657142857142857e-05 3.2e-05 2.7428571428571425e-05 -2.2857142857142858e-05 4.5714285714285715e-07 0.010285714285714287 0.009142857142857142 0.008 0.006857142857142857 -0.005714285714285714 0.0001142857142857143 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.016 0.00016457142857142858 0.00014628571428571428 0.000128 0.0001097142857142857 -9.142857142857143e-05 1.8285714285714286e-06 0.020571428571428574 0.018285714285714284 0.016 0.013714285714285714 -0.011428571428571429 0.0002285714285714286 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.024 0.0003702857142857143 0.0003291428571428571 0.000288 0.00024685714285714285 -0.00020571428571428572 4.114285714285715e-06 0.03085714285714286 0.027428571428571427 0.024 0.02057142857142857 -0.017142857142857144 0.0003428571428571429 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.032 0.0006582857142857143 0.0005851428571428571 0.000512 0.0004388571428571428 -0.00036571428571428573 7.3142857142857144e-06 0.04114285714285715 0.03657142857142857 0.032 0.027428571428571427 -0.022857142857142857 0.0004571428571428572 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.04 0.0010285714285714286 0.0009142857142857143 0.0008 0.0006857142857142857 -0.0005714285714285715 1.142857142857143e-05 0.051428571428571435 0.045714285714285714 0.04 0.03428571428571429 -0.028571428571428574 0.0005714285714285715 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.048 0.0014811428571428573 0.0013165714285714284 0.001152 0.0009874285714285714 -0.0008228571428571429 1.645714285714286e-05 0.06171428571428572 0.054857142857142854 0.048 0.04114285714285714 -0.03428571428571429 0.0006857142857142858 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.056 0.0020160000000000004 0.0017920000000000002 0.0015680000000000002 0.0013440000000000001 -0.0011200000000000001 2.2400000000000006e-05 0.07200000000000001 0.064 0.056 0.048 -0.04 0.0008 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.064 0.0026331428571428573 0.0023405714285714284 0.002048 0.0017554285714285712 -0.001462857142857143 2.9257142857142858e-05 0.0822857142857143 0.07314285714285713 0.064 0.054857142857142854 -0.045714285714285714 0.0009142857142857144 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.072 0.0033325714285714295 0.0029622857142857146 0.0025920000000000006 0.002221714285714286 -0.0018514285714285718 3.702857142857144e-05 0.09257142857142858 0.0822857142857143 0.07200000000000001 0.06171428571428572 -0.051428571428571435 0.0010285714285714288 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.08 0.004114285714285714 0.003657142857142857 0.0032 0.002742857142857143 -0.002285714285714286 4.571428571428572e-05 0.10285714285714287 0.09142857142857143 0.08 0.06857142857142857 -0.05714285714285715 0.001142857142857143 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.088 0.004978285714285714 0.004425142857142857 0.0038719999999999996 0.0033188571428571425 -0.0027657142857142854 5.531428571428571e-05 0.11314285714285714 0.10057142857142856 0.088 0.07542857142857141 -0.06285714285714286 0.0012571428571428573 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.096 0.005924571428571429 0.005266285714285714 0.004608 0.003949714285714286 -0.0032914285714285715 6.582857142857143e-05 0.12342857142857144 0.10971428571428571 0.096 0.08228571428571428 -0.06857142857142857 0.0013714285714285716 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.104 0.006953142857142859 0.006180571428571429 0.005408000000000001 0.0046354285714285725 -0.003862857142857144 7.725714285714289e-05 0.13371428571428573 0.11885714285714286 0.10400000000000001 0.08914285714285715 -0.07428571428571429 0.001485714285714286 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.112 0.008064000000000002 0.007168000000000001 0.006272000000000001 0.005376000000000001 -0.0044800000000000005 8.960000000000002e-05 0.14400000000000002 0.128 0.112 0.096 -0.08 0.0016 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.12 0.009257142857142858 0.008228571428571427 0.0072 0.006171428571428571 -0.005142857142857143 0.00010285714285714286 0.1542857142857143 0.13714285714285712 0.12 0.10285714285714284 -0.08571428571428572 0.0017142857142857144 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.128 0.01053257142857143 0.009362285714285714 0.008192 0.007021714285714285 -0.005851428571428572 0.00011702857142857143 0.1645714285714286 0.14628571428571427 0.128 0.10971428571428571 -0.09142857142857143 0.0018285714285714288 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.136 0.011890285714285716 0.010569142857142859 0.009248000000000001 0.007926857142857143 -0.006605714285714287 0.00013211428571428574 0.17485714285714288 0.15542857142857144 0.136 0.11657142857142858 -0.09714285714285716 0.001942857142857143 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.144 0.013330285714285718 0.011849142857142858 0.010368000000000002 0.008886857142857144 -0.007405714285714287 0.00014811428571428575 0.18514285714285716 0.1645714285714286 0.14400000000000002 0.12342857142857144 -0.10285714285714287 0.0020571428571428576 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.152 0.014852571428571429 0.013202285714285713 0.011552 0.009901714285714285 -0.008251428571428571 0.00016502857142857143 0.19542857142857145 0.1737142857142857 0.152 0.13028571428571428 -0.10857142857142857 0.0021714285714285715 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.16 0.016457142857142858 0.014628571428571428 0.0128 0.010971428571428571 -0.009142857142857144 0.0001828571428571429 0.20571428571428574 0.18285714285714286 0.16 0.13714285714285715 -0.1142857142857143 0.002285714285714286 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.168 0.018144000000000004 0.016128 0.014112000000000001 0.012096 -0.01008 0.00020160000000000005 0.21600000000000003 0.192 0.168 0.144 -0.12000000000000001 0.0024000000000000002 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.176 0.019913142857142855 0.017700571428571427 0.015487999999999998 0.01327542857142857 -0.011062857142857142 0.00022125714285714285 0.22628571428571428 0.20114285714285712 0.176 0.15085714285714283 -0.12571428571428572 0.0025142857142857146 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.184 0.021764571428571428 0.01934628571428571 0.016928 0.014509714285714284 -0.01209142857142857 0.00024182857142857143 0.23657142857142857 0.21028571428571427 0.184 0.1577142857142857 -0.13142857142857142 0.002628571428571429 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
