timestamp target_q_0 target_qd_0 target_qdd_0
0.0 -0.7714355293814937 0.0 1.4 
0.008 -0.7713907293814938 0.0112 1.4 
0.016 -0.7712563293814937 0.0224 1.4 
0.024 -0.7710323293814937 0.0336 1.4 
0.032 -0.7707187293814938 0.0448 1.4 
0.04 -0.7703155293814937 0.055999999999999994 1.4 
0.048 -0.7698227293814938 0.0672 1.4 
0.056 -0.7692403293814938 0.0784 1.4 
0.064 -0.7685683293814938 0.0896 1.4 
0.072 -0.7678067293814937 0.1008 1.4 
0.08 -0.7669555293814937 0.11199999999999999 1.4 
0.088 -0.7660147293814937 0.12319999999999999 1.4 
0.096 -0.7649843293814937 0.1344 1.4 
0.104 -0.7638643293814937 0.1456 1.4 
0.112 -0.7626547293814937 0.1568 1.4 
0.12 -0.7613555293814938 0.16799999999999998 1.4 
0.128 -0.7599667293814938 0.1792 1.4 
0.136 -0.7584883293814937 0.1904 1.4 
0.144 -0.7569203293814938 0.2016 1.4 
0.152 -0.7552627293814937 0.2128 1.4 
0.16 -0.7535155293814937 0.22399999999999998 1.4 
0.168 -0.7516787293814937 0.2352 1.4 
0.176 -0.7497523293814937 0.24639999999999998 1.4 
0.184 -0.7477363293814937 0.2576 1.4 
0.192 -0.7456307293814938 0.2688 1.4 
0.2 -0.7434355293814937 0.27999999999999997 1.4 
0.208 -0.7411507293814937 0.2912 1.4 
0.216 -0.7387763293814937 0.3024 1.4 
0.224 -0.7363123293814937 0.3136 1.4 
0.232 -0.7337587293814938 0.3248 1.4 
0.24 -0.7311155293814937 0.33599999999999997 1.4 
0.248 -0.7283827293814937 0.34719999999999995 1.4 
0.256 -0.7255603293814937 0.3584 1.4 
0.264 -0.7226483293814937 0.3696 1.4 
0.272 -0.7196467293814938 0.3808 1.4 
0.28 -0.7165555293814937 0.392 1.4 
0.288 -0.7133747293814937 0.4032 1.4 
0.296 -0.7101043293814937 0.41439999999999994 1.4 
0.304 -0.7067443293814938 0.4256 1.4 
0.312 -0.7032947293814937 0.43679999999999997 1.4 
0.32 -0.6997555293814938 0.44799999999999995 1.4 
0.328 -0.6961267293814937 0.4592 1.4 
0.336 -0.6924083293814938 0.4704 1.4 
0.344 -0.6886003293814937 0.48160000000000003 1.4 
0.352 -0.6847027293814938 0.49279999999999996 1.4 
0.36 -0.6807155293814937 0.504 1.4 
0.368 -0.6766387293814937 0.5152 1.4 
0.376 -0.6724723293814937 0.5264 1.4 
0.384 -0.6682163293814938 0.5376 1.4 
0.392 -0.6638707293814937 0.5488 1.4 
0.4 -0.6594355293814937 0.5599999999999999 1.4 
0.408 -0.6549107293814938 0.5712 1.4 
0.416 -0.6502963293814937 0.5824 1.4 
0.424 -0.6455923293814938 0.5935999999999999 1.4 
0.432 -0.6407987293814937 0.6048 1.4 
0.44 -0.6359155293814938 0.616 1.4 
0.448 -0.6309427293814938 0.6272 1.4 
0.456 -0.6258803293814937 0.6384 1.4 
0.464 -0.6207283293814937 0.6496 1.4 
0.472 -0.6154867293814937 0.6608 1.4 
0.48 -0.6101555293814938 0.6719999999999999 1.4 
0.488 -0.6047347293814938 0.6831999999999999 1.4 
0.496 -0.5992243293814937 0.6943999999999999 1.4 
0.504 -0.5936243293814938 0.7056 1.4 
0.512 -0.5879347293814937 0.7168 1.4 
0.52 -0.5821555293814937 0.728 1.4 
0.528 -0.5762867293814937 0.7392 1.4 
0.536 -0.5703283293814937 0.7504 1.4 
0.544 -0.5642803293814938 0.7616 1.4 
0.552 -0.5581427293814938 0.7728 1.4 
0.56 -0.5519155293814937 0.784 1.4 
0.568 -0.5455987293814937 0.7952 1.4 
0.576 -0.5391923293814938 0.8064 1.4 
0.584 -0.5326963293814938 0.8175999999999999 1.4 
0.592 -0.5261107293814937 0.8287999999999999 1.4 
0.6 -0.5194355293814937 0.84 1.4 
0.608 -0.5126707293814938 0.8512 1.4 
0.616 -0.5058163293814937 0.8623999999999999 1.4 
0.624 -0.49887232938149373 0.8735999999999999 1.4 
0.632 -0.49183872938149376 0.8847999999999999 1.4 
0.64 -0.48471552938149376 0.8959999999999999 1.4 
0.648 -0.47750272938149374 0.9072 1.4 
0.656 -0.4702003293814937 0.9184 1.4 
0.664 -0.4628083293814937 0.9296 1.4 
0.672 -0.4553267293814937 0.9408 1.4 
0.68 -0.4477555293814937 0.952 1.4 
0.688 -0.4400947293814937 0.9632000000000001 1.4 
0.696 -0.4323443293814937 0.9744 1.4 
0.704 -0.4245043293814938 0.9855999999999999 1.4 
0.712 -0.4165747293814938 0.9967999999999999 1.4 
0.72 -0.40855552938149375 1.008 1.4 
0.728 -0.4004467293814937 1.0191999999999999 1.4 
0.736 -0.3922483293814938 1.0304 1.4 
0.744 -0.3839603293814937 1.0415999999999999 1.4 
0.75031084 -0.37744868332085824 1.0280351712360831 -1.4 
0.75831085 -0.36926920195096957 1.0168351712360832 -1.4 
0.7663108 -0.3611793205810809 1.0056351712360831 -1.4 
0.7743108 -0.35317903921119226 0.9944351712360832 -1.4 
0.78231084 -0.34526835784130355 0.9832351712360832 -1.4 
0.79031086 -0.3374472764714149 0.9720351712360832 -1.4 
0.7983108 -0.3297157951015262 0.9608351712360832 -1.4 
0.80631083 -0.3220739137316376 0.9496351712360831 -1.4 
0.81431085 -0.31452163236174885 0.9384351712360831 -1.4 
0.82231086 -0.30705895099186015 0.9272351712360831 -1.4 
0.8303108 -0.2996858696219715 0.9160351712360831 -1.4 
0.83831084 -0.29240238825208287 0.9048351712360831 -1.4 
0.84631085 -0.2852085068821942 0.893635171236083 -1.4 
0.8543108 -0.2781042255123055 0.8824351712360831 -1.4 
0.8623108 -0.27108954414241687 0.8712351712360831 -1.4 
0.87031084 -0.26416446277252814 0.8600351712360831 -1.4 
0.87831086 -0.2573289814026395 0.8488351712360831 -1.4 
0.8863108 -0.2505831000327508 0.837635171236083 -1.4 
0.89431083 -0.24392681866286214 0.826435171236083 -1.4 
0.90231085 -0.23736013729297348 0.815235171236083 -1.4 
0.91031086 -0.23088305592308483 0.804035171236083 -1.4 
0.9183108 -0.22449557455319616 0.792835171236083 -1.4 
