timestamp target_q_0 target_qd_0 target_qdd_0
0.0 -1.5707963267948966 0.0 1.4 
0.008 -1.5707515267948966 0.0112 1.4 
0.016 -1.5706171267948965 0.0224 1.4 
0.024 -1.5703931267948965 0.0336 1.4 
0.032 -1.5700795267948966 0.0448 1.4 
0.04 -1.5696763267948965 0.055999999999999994 1.4 
0.048 -1.5691835267948966 0.0672 1.4 
0.056 -1.5686011267948965 0.0784 1.4 
0.064 -1.5679291267948965 0.0896 1.4 
0.072 -1.5671675267948966 0.1008 1.4 
0.08 -1.5663163267948965 0.11199999999999999 1.4 
0.088 -1.5653755267948966 0.12319999999999999 1.4 
0.096 -1.5643451267948965 0.1344 1.4 
0.104 -1.5632251267948964 0.1456 1.4 
0.112 -1.5620155267948965 0.1568 1.4 
0.12 -1.5607163267948965 0.16799999999999998 1.4 
0.128 -1.5593275267948965 0.1792 1.4 
0.136 -1.5578491267948966 0.1904 1.4 
0.144 -1.5562811267948966 0.2016 1.4 
0.152 -1.5546235267948965 0.2128 1.4 
0.16 -1.5528763267948966 0.22399999999999998 1.4 
0.168 -1.5510395267948967 0.2352 1.4 
0.176 -1.5491131267948965 0.24639999999999998 1.4 
0.184 -1.5470971267948965 0.2576 1.4 
0.192 -1.5449915267948966 0.2688 1.4 
0.2 -1.5427963267948965 0.27999999999999997 1.4 
0.208 -1.5405115267948966 0.2912 1.4 
0.216 -1.5381371267948967 0.3024 1.4 
0.224 -1.5356731267948966 0.3136 1.4 
0.232 -1.5331195267948965 0.3248 1.4 
0.24 -1.5304763267948966 0.33599999999999997 1.4 
0.248 -1.5277435267948967 0.34719999999999995 1.4 
0.256 -1.5249211267948966 0.3584 1.4 
0.264 -1.5220091267948965 0.3696 1.4 
0.272 -1.5190075267948966 0.3808 1.4 
0.28 -1.5159163267948965 0.392 1.4 
0.288 -1.5127355267948965 0.4032 1.4 
0.296 -1.5094651267948966 0.41439999999999994 1.4 
0.304 -1.5061051267948966 0.4256 1.4 
0.312 -1.5026555267948964 0.43679999999999997 1.4 
0.32 -1.4991163267948966 0.44799999999999995 1.4 
0.328 -1.4954875267948966 0.4592 1.4 
0.336 -1.4917691267948965 0.4704 1.4 
0.344 -1.4879611267948964 0.48160000000000003 1.4 
0.352 -1.4840635267948965 0.49279999999999996 1.4 
0.36 -1.4800763267948966 0.504 1.4 
0.368 -1.4759995267948967 0.5152 1.4 
0.376 -1.4718331267948965 0.5264 1.4 
0.384 -1.4675771267948965 0.5376 1.4 
0.392 -1.4632315267948965 0.5488 1.4 
0.4 -1.4587963267948965 0.5599999999999999 1.4 
0.408 -1.4542715267948965 0.5712 1.4 
0.416 -1.4496571267948966 0.5824 1.4 
0.424 -1.4449531267948965 0.5935999999999999 1.4 
0.432 -1.4401595267948966 0.6048 1.4 
0.44 -1.4352763267948965 0.616 1.4 
0.448 -1.4303035267948965 0.6272 1.4 
0.456 -1.4252411267948966 0.6384 1.4 
0.464 -1.4200891267948965 0.6496 1.4 
0.472 -1.4148475267948966 0.6608 1.4 
0.48 -1.4095163267948965 0.6719999999999999 1.4 
