timestamp target_q_0 target_q_1 target_q_2 target_q_3 target_q_4 target_q_5 target_qd_0 target_qd_1 target_qd_2 target_qd_3 target_qd_4 target_qd_5 target_qdd_0 target_qdd_1 target_qdd_2 target_qdd_3 target_qdd_4 target_qdd_5
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 0.0 0.15000000000000002 0.13333333333333336 0.11666666666666667 0.1 -0.08333333333333334 0.001666666666666667 
0.008 4.800000000000001e-06 4.266666666666668e-06 3.7333333333333333e-06 3.2e-06 -2.666666666666667e-06 5.333333333333334e-08 0.0012000000000000001 0.001066666666666667 0.0009333333333333333 0.0008 -0.0006666666666666668 1.3333333333333337e-05 0.15000000000000002 0.13333333333333336 0.11666666666666667 0.1 -0.08333333333333334 0.001666666666666667 
0.016 1.9200000000000003e-05 1.706666666666667e-05 1.4933333333333333e-05 1.28e-05 -1.0666666666666667e-05 2.1333333333333336e-07 0.0024000000000000002 0.002133333333333334 0.0018666666666666666 0.0016 -0.0013333333333333335 2.6666666666666673e-05 0.15000000000000002 0.13333333333333336 0.11666666666666667 0.1 -0.08333333333333334 0.001666666666666667 
0.024 4.3200000000000007e-05 3.840000000000001e-05 3.3600000000000004e-05 2.8800000000000002e-05 -2.4000000000000004e-05 4.800000000000001e-07 0.0036000000000000008 0.0032000000000000006 0.0028 0.0024000000000000002 -0.0020000000000000005 4.000000000000001e-05 0.15000000000000002 0.13333333333333336 0.11666666666666667 0.1 -0.08333333333333334 0.001666666666666667 
0.032 7.680000000000001e-05 6.826666666666668e-05 5.973333333333333e-05 5.12e-05 -4.266666666666667e-05 8.533333333333335e-07 0.0048000000000000004 0.004266666666666668 0.0037333333333333333 0.0032 -0.002666666666666667 5.333333333333335e-05 0.15000000000000002 0.13333333333333336 0.11666666666666667 0.1 -0.08333333333333334 0.001666666666666667 
0.04 0.00012000000000000003 0.0001066666666666667 9.333333333333334e-05 8e-05 -6.666666666666668e-05 1.3333333333333336e-06 0.006000000000000001 0.005333333333333335 0.004666666666666667 0.004 -0.003333333333333334 6.666666666666668e-05 0.15000000000000002 0.13333333333333336 0.11666666666666667 0.1 -0.08333333333333334 0.001666666666666667 
0.048 0.00017280000000000003 0.00015360000000000005 0.00013440000000000001 0.00011520000000000001 -9.600000000000002e-05 1.9200000000000003e-06 0.0072000000000000015 0.006400000000000001 0.0056 0.0048000000000000004 -0.004000000000000001 8.000000000000002e-05 0.15000000000000002 0.13333333333333336 0.11666666666666667 0.1 -0.08333333333333334 0.001666666666666667 
0.056 0.00023520000000000005 0.00020906666666666672 0.00018293333333333335 0.00015680000000000002 -0.0001306666666666667 2.6133333333333343e-06 0.008400000000000001 0.007466666666666668 0.006533333333333334 0.005600000000000001 -0.004666666666666667 9.333333333333336e-05 0.15000000000000002 0.13333333333333336 0.11666666666666667 0.1 -0.08333333333333334 0.001666666666666667 
0.064 0.00030720000000000004 0.0002730666666666667 0.00023893333333333333 0.0002048 -0.00017066666666666668 3.413333333333334e-06 0.009600000000000001 0.008533333333333335 0.007466666666666667 0.0064 -0.005333333333333334 0.0001066666666666667 0.15000000000000002 0.13333333333333336 0.11666666666666667 0.1 -0.08333333333333334 0.001666666666666667 
0.072 0.0003888000000000001 0.00034560000000000016 0.0003024000000000001 0.00025920000000000007 -0.00021600000000000007 4.320000000000002e-06 0.010800000000000002 0.009600000000000003 0.008400000000000001 0.0072000000000000015 -0.006000000000000001 0.00012000000000000004 0.15000000000000002 0.13333333333333336 0.11666666666666667 0.1 -0.08333333333333334 0.001666666666666667 
0.08 0.0004800000000000001 0.0004266666666666668 0.0003733333333333334 0.00032 -0.00026666666666666673 5.3333333333333345e-06 0.012000000000000002 0.01066666666666667 0.009333333333333334 0.008 -0.006666666666666668 0.00013333333333333337 0.15000000000000002 0.13333333333333336 0.11666666666666667 0.1 -0.08333333333333334 0.001666666666666667 
