timestamp target_q_0 target_q_1 target_q_2 target_q_3 target_q_4 target_q_5 target_qd_0 target_qd_1 target_qd_2 target_qd_3 target_qd_4 target_qd_5 target_qdd_0 target_qdd_1 target_qdd_2 target_qdd_3 target_qdd_4 target_qdd_5 target_TCP_pose_0 target_TCP_pose_1 target_TCP_pose_2 target_TCP_pose_3 target_TCP_pose_4 target_TCP_pose_5 target_TCP_speed_0 target_TCP_speed_1 target_TCP_speed_2 target_TCP_speed_3 target_TCP_speed_4 target_TCP_speed_5
0.0 0.0 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.6666666666666664 0.3333333333333332 0.0 0.0 0.0 295.15 -112.34999999999998 480.9 -1.2091995761561454 1.2091995761561456 -1.2091995761561458 0.0 0.0 0.0 0.0 0.0 0.0 
0.008 3.2e-05 -1.5707749934615631 -1.57078566012823 0.0 1.5707963267948966 0.0 0.008 0.005333333333333331 0.0026666666666666657 0.0 0.0 0.0 1.0 0.6666666666666664 0.3333333333333332 0.0 0.0 0.0 295.14566583110394 -112.34055539621338 480.9094447008554 -1.2091911404039255 1.2091524469065253 -1.2091911404039257 -1.083617780236693 2.361101891697661 2.3611504272355144 2.559999999563092e-07 -0.007999999995903997 0.008 
0.016 0.000128 -1.5707109934615633 -1.57075366012823 0.0 1.5707963267948966 0.0 0.016 0.010666666666666663 0.005333333333333331 0.0 0.0 0.0 1.0 0.6666666666666664 0.3333333333333332 0.0 0.0 0.0 295.13265969787136 -112.31222393972357 480.93777761360707 -1.209165826575134 1.2090110632539737 -1.2091658265751342 -2.168142164364273 4.721615017531503 4.7220033888704 2.047999994407594e-06 -0.015999999868927993 0.016 
0.024 0.000288 -1.5706043267948966 -1.5707003267948965 0.0 1.5707963267948966 0.0 0.024 0.015999999999999993 0.007999999999999997 0.0 0.0 0.0 1.0 0.6666666666666664 0.3333333333333332 0.0 0.0 0.0 295.1109707222185 -112.26501269746149 480.98499516823307 -1.2091236149552054 1.2087754374892468 -1.2091236149552056 -3.2544793685158817 7.080950031459979 7.082261274241693 6.91199990444851e-06 -0.023999999004672 0.024 
0.032 0.000512 -1.5704549934615633 -1.5706256601282298 0.0 1.5707963267948966 0.0 0.032 0.021333333333333326 0.010666666666666663 0.0 0.0 0.0 1.0 0.6666666666666664 0.3333333333333332 0.0 0.0 0.0 295.08058077917786 -112.19893345538017 481.0510914127616 -1.2090644726926643 1.2084455901030688 -1.2090644726926645 -4.343534832789361 9.438516427418614 9.44162618259119 1.6383999284172122e-05 -0.03199999580569608 0.032 
0.04 0.0008 -1.5702629934615633 -1.57052966012823 0.0 1.5707963267948966 0.0 0.04 0.026666666666666658 0.013333333333333329 0.0 0.0 0.0 1.0 0.6666666666666664 0.3333333333333332 0.0 0.0 0.0 295.0414645046626 -112.11400273005208 481.13605801037176 -1.2089883538083168 1.2080215497953124 -1.2089883538083168 -5.4362128319305105 11.793721960140454 11.79979977809136 3.1999996586666764e-05 -0.03999998720000067 0.04 
0.048 0.001152 -1.5700283267948965 -1.5704123267948966 0.0 1.5707963267948966 0.0 0.048 0.03199999999999999 0.015999999999999993 0.0 0.0 0.0 1.0 0.6666666666666664 0.3333333333333332 0.0 0.0 0.0 294.9935893063514 -112.01024178489634 481.2398842353324 -1.2088951992081247 1.2075033534878448 -1.2088951992081247 -6.5334160844583735 14.145972066976448 14.15648314495966 5.5295987769410324e-05 -0.047999968149507494 0.048 
0.056 0.0015680000000000002 -1.5697509934615632 -1.5702736601282299 0.0 1.5707963267948966 0.0 0.056 0.03733333333333332 0.01866666666666666 0.0 0.0 0.0 1.0 0.6666666666666664 0.3333333333333332 0.0 0.0 0.0 294.93691537770894 -111.88767665102608 481.36255696778403 -1.208784936699754 1.2068910463410198 -1.2087849366997543 -7.636045359714991 16.494669291051956 16.51137664269085 8.780796401886171e-05 -0.055999931158542085 0.056 
0.064 0.002048 -1.5694309934615631 -1.57011366012823 0.0 1.5707963267948966 0.0 0.064 0.04266666666666665 0.021333333333333326 0.0 0.0 0.0 1.0 0.6666666666666664 0.3333333333333332 0.0 0.0 0.0 294.87139571515917 -111.74633815270423 481.50406068736163 -1.208657481012803 1.2061846817738038 -1.2086574810128035 -8.744999082323332 18.839212706097772 18.864179761437057 0.00013107190837405015 -0.0639998657823189 0.064 
0.072 0.0025920000000000006 -1.5690683267948966 -1.5699323267948966 0.0 1.5707963267948966 0.0 0.07200000000000001 0.04799999999999999 0.023999999999999994 0.0 0.0 0.0 1.0 0.6666666666666664 0.3333333333333332 0.0 0.0 0.0 294.7969761384359 -111.58626193739266 481.66437746566294 -1.2085127338227057 1.205384321487513 -1.208512733822706 -9.86117293353913 21.17899734329729 21.2145909775657 0.00018662379102896593 -0.07199975813543139 0.07200000000000001 
